Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
0,Euronews_Georgia,397,YES,237.7.7.178:17178,237.7.7.178:17178,233.3.3.217:3217
0,Euronews_Georgia,479,YES,237.7.7.178:17178,237.7.7.177:17177,233.3.4.51:4051
1,First_Channel_HD,826,YES,237.7.7.244:10244,237.7.7.244:10244,233.3.4.180:4180
1,First_Channel,485,YES,237.7.7.244:10244,237.7.7.246:10246,233.3.4.57:4057
2,First_Channel_Sport,376,YES,237.7.7.179:10179,237.7.7.179:10179,233.3.3.200:3200
2,First_Channel_Sport,486,YES,237.7.7.179:10179,237.7.7.179:10179,233.3.4.58:4058
3,Silk_Hollywood_Movies,1069,YES,237.7.171.52:17152,228.141.1.71:7111,233.3.3.220:3220
3,Silk_Hollywood_Movies,534,YES,237.7.171.52:17152,237.7.171.52:17152,233.3.4.104:4104
4,Silk_Movie_Collection,1070,YES,237.7.171.58:17158,228.141.1.71:7112,233.3.3.221:3221
4,Silk_Movie_Collection,596,YES,237.7.171.58:17158,237.7.171.58:17158,233.3.4.163:4163
5,Silk_Sport_1,528,YES,237.7.171.79:17179,237.7.171.79:18179,233.3.4.99:4099
5,Silk_Sport_HD_1,527,YES,237.7.171.79:17179,237.7.171.79:17179,233.3.4.98:4098
6,Silk_Sport_2,652,YES,237.7.171.80:17180,237.7.171.80:18180,233.3.4.184:4184
6,Silk_Sport_HD_2,532,YES,237.7.171.80:17180,237.7.171.80:17180,233.3.4.102:4102
7,Silk_Sport_HD_3,634,YES,237.7.171.81:17181,237.7.171.81:17181,233.3.4.168:4168
7,Silk_Sport_3,653,YES,237.7.171.81:17181,237.7.171.81:18181,233.3.4.185:4185
8,Silk_Kids,1071,YES,237.7.171.54:17154,228.141.1.71:7113,233.3.3.223:3223
8,Silk_Kids,533,YES,237.7.171.54:17154,237.7.171.54:17154,233.3.4.103:4103
9,Silk_Universal,812,YES,237.7.171.82:17182,237.7.171.82:18182,233.3.4.13:4013
9,Silk_Universal,813,YES,237.7.171.82:17182,237.7.171.82:17182,233.3.4.225:4225
10,TV_Pirveli,612,YES,237.7.7.87:10087,228.141.1.71:7101,233.3.4.254:4254
10,TV_Pirveli,897,YES,237.7.7.87:10087,237.7.7.87:10087,233.3.3.102:3102
11,Palitranews,775,YES,237.7.7.137:10137,237.7.7.137:10137,233.3.3.16:3016
12,POS_TV,838,YES,237.7.7.223:17223,237.7.7.223:17223,233.3.5.70:5070
12,POS_TV,109,YES,237.7.7.223:17223,228.141.1.71:7118,233.3.5.109:5109
13,Kavkasia,367,YES,237.7.7.218:17218,237.7.7.218:17218,233.3.3.193:3193
13,Kavkasia,492,YES,237.7.7.218:17218,237.7.7.218:17218,233.3.4.64:4064
14,Adjara_TV,341,YES,237.7.7.215:17215,228.141.1.71:7131,233.3.3.167:3167
14,Adjara_TV,493,YES,237.7.7.215:17215,228.141.1.71:7131,233.3.4.65:4065
15,Voice_of_Abkhazia,570,YES,237.7.7.210:10210,237.7.7.210:10210,233.3.4.138:4138
16,Ertsulovneba,496,NO,237.7.7.108:17108,,233.3.4.68:4068
16,Ertsulovneba,379,YES,237.7.7.108:17108,237.7.7.108:17108,233.3.3.203:3203
17,Georgian_Channel,1072,YES,237.7.7.163:10163,237.7.7.163:10163,233.3.3.240:3240
17,Georgian_Channel,745,YES,237.7.7.163:10163,237.7.7.163:10163,233.3.4.247:4247
